Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YearlyAverage,MinimumMonthly,MaximumMonthly,Range
2007,182.92,182.83,182.78,182.85,182.87,182.94,183.00,183.01,183.02,183.18,183.18,183.11,182.97,182.78,183.18,0.40
2008,183.08,183.03,182.97,183.01,183.18,183.29,183.41,183.42,183.37,183.32,183.27,183.19,183.21,182.97,183.42,0.45
2009,183.14,183.10,183.09,183.12,183.24,183.30,183.34,183.39,183.42,183.36,183.35,183.30,183.26,183.09,183.42,0.33
2010,183.21,183.14,183.09,183.08,183.08,183.13,183.19,183.20,183.22,183.19,183.14,183.07,183.15,183.07,183.22,0.15
2011,183.00,182.93,182.87,182.91,183.04,183.15,183.25,183.28,183.23,183.21,183.16,183.09,183.09,182.87,183.28,0.41
2012,183.01,182.94,182.93,183.00,183.06,183.20,183.30,183.27,183.20,183.13,183.11,183.06,183.10,182.93,183.30,0.37
2013,182.98,182.94,182.91,182.90,183.11,183.26,183.37,183.44,183.48,183.45,183.40,183.35,183.22,182.90,183.48,0.58
2014,183.29,183.24,183.23,183.27,183.47,183.60,183.66,183.67,183.70,183.71,183.67,183.60,183.51,183.23,183.71,0.48
2015,183.54,183.47,183.42,183.44,183.53,183.63,183.68,183.68,183.69,183.60,183.58,183.59,183.57,183.42,183.69,0.27
2016,183.55,183.49,183.46,183.48,183.50,183.61,183.69,183.70,183.70,183.68,183.59,183.54,183.58,183.46,183.70,0.24
2017,183.26,183.23,183.26,183.36,183.45,183.51,183.54,183.54,183.51,183.47,183.40,183.40,183.41,183.23,183.54,0.31
2018,183.65,183.58,183.54,183.47,183.50,183.56,183.65,183.65,183.70,183.77,183.76,183.67,183.63,183.47,183.77,0.30
